category,naive_mae,naive_rmse,ma_mae,ma_rmse,ridge_mae,ridge_rmse,gru_mae,gru_rmse
Groceries,963.5555555555555,1113.08226543667,717.222222222222,833.4964346056784,682.2577891304277,795.602219376158,539.6873779296875,690.8889201601079
Furniture,683.4907407407408,889.6242288283961,746.6388888888889,961.8808975705418,569.4910360183071,729.6678007961177,653.1942749023438,823.310163304207
Electronics,684.7592592592592,858.1798676181965,557.0661375661375,687.7629881111449,512.6746043188375,654.0380141814973,657.7542114257812,821.1195862966612
Clothing,573.1666666666666,734.6582349788384,550.925925925926,702.5596982674352,540.9380888530186,713.9708403827533,599.1973876953125,741.158763356408
Toys,604.3981481481482,793.4448859480015,592.0621693121693,739.3820711430187,600.0618622942775,756.1362920902003,624.9381103515625,791.0197927359341
